date,county,state,fips,cases_x,deaths,cases_y,rate,Population
2020-09-08,Jefferson,Tennessee,47089.0,923,9,26,34.5,146273
2020-09-08,Haywood,North Carolina,37087.0,530,31,15,34.333333333333336,126092
2020-09-08,Caldwell,North Carolina,37027.0,1485,17,43,33.53488372093023,218316
2020-09-08,Loiza,Puerto Rico,72087.0,206,0,6,33.333333333333336,123077
2020-09-08,Dale,Alabama,1045.0,1166,42,34,33.294117647058826,132990
2020-09-08,Walton,Florida,12131.0,1747,20,51,33.254901960784316,146900
2020-09-08,Fresno,California,6019.0,26565,326,777,33.189189189189186,1073138
2020-09-08,Wells,Indiana,18179.0,239,2,7,33.142857142857146,107731
2020-09-08,Stanislaus,California,6099.0,15635,295,461,32.915401301518436,613456
2020-09-08,Buncombe,North Carolina,37021.0,2641,82,78,32.85897435897436,451124
2020-09-08,Monroe,Tennessee,47123.0,874,15,26,32.61538461538461,102246
2020-09-08,Lincoln,North Carolina,37109.0,1235,13,37,32.37837837837838,167797
2020-09-08,Blount,Alabama,1009.0,1390,12,42,32.095238095238095,157623
2020-09-08,Anderson,Tennessee,47001.0,957,9,29,32.0,156814
2020-09-08,Leon,Florida,12073.0,7942,40,242,31.818181818181817,316395
2020-09-08,Beaufort,North Carolina,37013.0,685,10,21,31.61904761904762,131531
2020-09-08,Lee,Mississippi,28081.0,2362,61,73,31.356164383561644,124230
2020-09-08,Vega Baja,Puerto Rico,72145.0,707,0,22,31.136363636363637,161516
