Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Zipcode
ZCTA5 29449,8265,,,2532,0,257,29449
ZCTA5 29458,3195,,,1053,0,78,29458
ZCTA5 29461,37133,,,14204,73,678,29461
ZCTA5 29464,51379,,,22830,140,2337,29464
ZCTA5 29470,4900,,,1537,0,164,29470
ZCTA5 29474,2136,,,619,0,27,29474
ZCTA5 29203,39518,,,12375,518,344,29203
ZCTA5 29209,33590,,,13300,187,617,29209
ZCTA5 29302,16958,,,6640,29,325,29302
ZCTA5 29571,14140,,,3906,54,50,29571
ZCTA5 29307,18121,,,6478,86,280,29307
ZCTA5 29316,26719,,,10731,27,328,29316
ZCTA5 29570,3402,,,916,0,24,29570
ZCTA5 29577,31816,,,11511,76,513,29577
ZCTA5 29580,1336,,,458,0,34,29580
ZCTA5 29593,1669,,,545,0,6,29593
ZCTA5 29617,28362,,,9649,34,314,29617
ZCTA5 29621,40931,,,16073,51,668,29621
ZCTA5 29626,12570,,,4658,1,117,29626
ZCTA5 29631,15176,,,5012,343,599,29631
ZCTA5 29644,21182,,,7642,0,364,29644
ZCTA5 29658,491,,,156,1,2,29658
ZCTA5 29690,23217,,,8302,3,665,29690
ZCTA5 29692,4711,,,1564,11,24,29692
ZCTA5 29696,5386,,,2009,0,98,29696
ZCTA5 29727,1441,,,543,0,0,29727
ZCTA5 29810,4224,,,1098,47,42,29810
ZCTA5 29840,323,,,103,0,0,29840
ZCTA5 29848,631,,,279,0,8,29848
ZCTA5 29939,383,,,140,0,1,29939
ZCTA5 29046,143,,,35,0,0,29046
ZCTA5 29101,2889,,,951,29,10,29101
ZCTA5 29168,3973,,,1555,0,11,29168
ZCTA5 29940,4046,,,1567,0,79,29940
ZCTA5 29137,1849,,,566,0,19,29137
ZCTA5 29153,14934,,,5502,14,95,29153
ZCTA5 29162,3046,,,918,0,31,29162
ZCTA5 29169,24170,,,9431,45,376,29169
ZCTA5 29202,274,,,114,0,0,29202
ZCTA5 29148,6910,,,1785,29,80,29148
ZCTA5 29320,1017,,,189,0,0,29320
ZCTA5 29453,1136,,,336,0,11,29453
ZCTA5 29581,5189,,,1806,0,0,29581
ZCTA5 29657,15869,,,6065,26,175,29657
ZCTA5 29569,17587,,,5712,41,201,29569
ZCTA5 29607,40940,,,18113,182,765,29607
ZCTA5 29741,2239,,,861,0,10,29741
ZCTA5 29902,15826,,,5905,9,397,29902
ZCTA5 29944,3985,,,1461,11,15,29944
ZCTA5 29945,5232,,,1669,0,65,29945
ZCTA5 29712,2199,,,721,0,88,29712
