Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 29370,1187.0,,,395.0,0.0,15.0,21649.0,29370
ZCTA5 29374,3756.0,,,1315.0,0.0,66.0,24425.0,29374
ZCTA5 29385,7834.0,,,2943.0,0.0,66.0,26107.0,29385
ZCTA5 29448,2309.0,,,870.0,0.0,58.0,16799.0,29448
ZCTA5 29466,38267.0,,,14119.0,56.0,2795.0,49087.0,29466
ZCTA5 29472,9242.0,,,2717.0,0.0,80.0,24089.0,29472
ZCTA5 29488,22056.0,,,7729.0,3.0,134.0,21427.0,29488
ZCTA5 29501,46516.0,,,18452.0,72.0,896.0,28142.0,29501
ZCTA5 29510,10493.0,,,3488.0,28.0,106.0,20591.0,29510
ZCTA5 29541,9601.0,,,3494.0,0.0,137.0,25591.0,29541
ZCTA5 29943,524.0,,,131.0,0.0,0.0,21321.0,29943
ZCTA5 29482,2148.0,,,774.0,10.0,132.0,51607.0,29482
ZCTA5 29485,57000.0,,,24394.0,21.0,1071.0,32186.0,29485
ZCTA5 29518,1042.0,,,349.0,0.0,0.0,22091.0,29518
ZCTA5 29547,3524.0,,,945.0,0.0,7.0,18077.0,29547
ZCTA5 29568,15066.0,,,5152.0,1.0,228.0,23825.0,29568
ZCTA5 29615,37681.0,,,16291.0,22.0,1521.0,34838.0,29615
